character_id,skill_id,skill_name,skill_type,damage,cooldown,description
1,1,attack1,attack1,50,3,
1,2,attack2,attack2,50,5,
1,3,attack3,attack3,150,8,
2,1,attack,attack1,60,3,
2,2,defense,attack2,60,5,
2,3,special,attack3,100,8,
3,1,attack,attack1,50,3,
3,2,defense,attack2,50,5,
3,3,special,attack3,100,8,
4,1,attack,attack1,30,3,
4,2,defense,attack2,40,5,
4,3,special,attack3,130,8,
5,1,attack,attack1,25,3,
5,2,defense,attack2,40,5,
5,3,special,attack3,120,8,
6,1,attack,attack1,30,3,
6,2,defense,attack2,50,5,
6,3,special,attack3,100,8,
